anonnet-node-007  | 2026-05-25T16:29:59.077682+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=4ac72fd3-e222-4e4c-bad6-c8bd4a6820eb remote_physical_node_id=fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3 observed_remote_host=192.168.65.254 observed_remote_port=19009 bound_transport=tcp bound_host=150.162.149.177 bound_port=19009 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:59.083545+00:00 | DEBUG | node-007 | physical_session | received keepalive ack | session_id=4ac72fd3-e222-4e4c-bad6-c8bd4a6820eb
anonnet-node-007  | 2026-05-25T16:29:59.094403+00:00 | DEBUG | node-007 | physical_session_client | sent physical session keepalive | session_id=d718fae7-e351-402a-b7d3-0436f9f06641
anonnet-node-007  | 2026-05-25T16:29:59.117730+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=d718fae7-e351-402a-b7d3-0436f9f06641 remote_physical_node_id=0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431 observed_remote_host=192.168.65.254 observed_remote_port=19005 bound_transport=tcp bound_host=150.162.149.177 bound_port=19005 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:59.120672+00:00 | DEBUG | node-007 | physical_session | received keepalive ack | session_id=d718fae7-e351-402a-b7d3-0436f9f06641
anonnet-node-007  | 2026-05-25T16:29:59.527131+00:00 | INFO | node-007 | physical_node_info_exchange_client | requested known physical nodes | session_id=7373608d-f2e3-4b7b-a03c-3a8e395b53e9 remote_physical_node_id=89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4 max_records=32
anonnet-node-007  | 2026-05-25T16:29:59.570333+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=91c36334b64e8bcef19baf75b31d60e0f5764b504b1ca88f92fd29a3dc98ebfaf5d57c40ed14fabdbbbb9c868e29f368818b2feb64c36e8dbfe90cbcf5b12a18 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19001,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.592050+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=331485e24af3aaa7e660cda9654bfc4026116945108193812e07328e1fea6a43092497e78c4a38c48d1e915f70bf8747d21fbeec9252e8b9357047dd7f3b1dc8 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19002,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.617569+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=5d21db85357345f7708b3ed2ea733077629af5f5ab57fe6a00006d5952808bcf0415c3cf61a22bcdb5d1c3e54127fc8fe1a301c0f946141ccfa7f24d548f380e advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19003,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.648480+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19005,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.677999+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19004,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.708322+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19008,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.735190+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19201,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.759392+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=1a9c3796d80ffcf4ef7a185dc06332ef426f1847ab316f3cad1e2574f26b6b5537472dbdfcd72fc68401bc7d5be9b9d7d56b2c00cc2e20f6cbfa5af65b81ef03 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19010,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.786479+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19202,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.810522+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19009,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:59.837012+00:00 | INFO | node-007 | physical_node_info_exchange | processed exchange response | responder_node_id=89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4 received_count=10 persisted_count=10 skipped_count=0 skip_reasons={}
anonnet-node-007  | 2026-05-25T16:29:59.842806+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=f01bf4bd-c661-4af7-a704-bb6d01d47fda remote_physical_node_id=1a9c3796d80ffcf4ef7a185dc06332ef426f1847ab316f3cad1e2574f26b6b5537472dbdfcd72fc68401bc7d5be9b9d7d56b2c00cc2e20f6cbfa5af65b81ef03 observed_remote_host=172.18.0.1 observed_remote_port=54670 bound_transport=tcp bound_host=150.162.149.177 bound_port=19010 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:59.850531+00:00 | DEBUG | node-007 | physical_session | received keepalive and sent ack | session_id=f01bf4bd-c661-4af7-a704-bb6d01d47fda
anonnet-node-007  | 2026-05-25T16:30:00.070070+00:00 | DEBUG | node-007 | physical_node_validation_runtime | no physical node validation candidate available | validation_backoff_seconds=300 total_remote_nodes=11 discovered_nodes=0 active_nodes=11 validated_nodes=11 active_endpoint_nodes=11 route_ready_nodes=11 rtt_known_nodes=4 recent_endpoints=[{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479","port":19004,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431","port":19005,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3","port":19009,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"5d21db85357345f7708b3ed2ea733077629af5f5ab57fe6a00006d5952808bcf0415c3cf61a22bcdb5d1c3e54127fc8fe1a301c0f946141ccfa7f24d548f380e","port":19003,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df","port":19201,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4","port":19006,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e","port":19008,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db","port":19202,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:01.108332+00:00 | DEBUG | node-007 | physical_session_client | sent physical session keepalive | session_id=d6cbd812-e06d-4d67-8c6a-642cb6efcf85
anonnet-node-007  | 2026-05-25T16:30:01.131282+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=d6cbd812-e06d-4d67-8c6a-642cb6efcf85 remote_physical_node_id=91c36334b64e8bcef19baf75b31d60e0f5764b504b1ca88f92fd29a3dc98ebfaf5d57c40ed14fabdbbbb9c868e29f368818b2feb64c36e8dbfe90cbcf5b12a18 observed_remote_host=192.168.65.254 observed_remote_port=19001 bound_transport=tcp bound_host=150.162.149.177 bound_port=19001 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:30:01.134221+00:00 | DEBUG | node-007 | physical_session | received keepalive ack | session_id=d6cbd812-e06d-4d67-8c6a-642cb6efcf85
anonnet-node-007  | 2026-05-25T16:30:03.101243+00:00 | DEBUG | node-007 | physical_node_validation_runtime | no physical node validation candidate available | validation_backoff_seconds=300 total_remote_nodes=11 discovered_nodes=0 active_nodes=11 validated_nodes=11 active_endpoint_nodes=11 route_ready_nodes=11 rtt_known_nodes=4 recent_endpoints=[{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479","port":19004,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431","port":19005,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3","port":19009,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"5d21db85357345f7708b3ed2ea733077629af5f5ab57fe6a00006d5952808bcf0415c3cf61a22bcdb5d1c3e54127fc8fe1a301c0f946141ccfa7f24d548f380e","port":19003,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df","port":19201,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4","port":19006,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e","port":19008,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db","port":19202,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.559332+00:00 | INFO | node-007 | physical_node_info_exchange_client | requested known physical nodes | session_id=d90852a8-a9dc-4d08-b08b-af839e42ee4b remote_physical_node_id=28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e max_records=32
anonnet-node-007  | 2026-05-25T16:30:04.594655+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19201,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.613143+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=1a9c3796d80ffcf4ef7a185dc06332ef426f1847ab316f3cad1e2574f26b6b5537472dbdfcd72fc68401bc7d5be9b9d7d56b2c00cc2e20f6cbfa5af65b81ef03 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19010,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.631303+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=5d21db85357345f7708b3ed2ea733077629af5f5ab57fe6a00006d5952808bcf0415c3cf61a22bcdb5d1c3e54127fc8fe1a301c0f946141ccfa7f24d548f380e advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19003,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.648228+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19009,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.666505+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19004,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.690880+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19006,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.713264+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19202,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.737818+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=331485e24af3aaa7e660cda9654bfc4026116945108193812e07328e1fea6a43092497e78c4a38c48d1e915f70bf8747d21fbeec9252e8b9357047dd7f3b1dc8 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19002,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.759585+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=91c36334b64e8bcef19baf75b31d60e0f5764b504b1ca88f92fd29a3dc98ebfaf5d57c40ed14fabdbbbb9c868e29f368818b2feb64c36e8dbfe90cbcf5b12a18 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19001,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.782363+00:00 | DEBUG | node-007 | physical_node_info_exchange | persisting exchanged physical node | physical_node_id=0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431 advertised_endpoint_count=1 valid_endpoint_count=1 valid_endpoints=[{"host":"150.162.149.177","port":19005,"priority":0,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:30:04.806734+00:00 | INFO | node-007 | physical_node_info_exchange | processed exchange response | responder_node_id=28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e received_count=10 persisted_count=10 skipped_count=0 skip_reasons={}
anonnet-node-007  | 2026-05-25T16:30:05.114794+00:00 | DEBUG | node-007 | physical_session_client | sent physical session keepalive | session_id=b9ea788a-34dd-4539-bb3c-1e54a755b889
anonnet-node-007  | 2026-05-25T16:30:05.135461+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=b9ea788a-34dd-4539-bb3c-1e54a755b889 remote_physical_node_id=331485e24af3aaa7e660cda9654bfc4026116945108193812e07328e1fea6a43092497e78c4a38c48d1e915f70bf8747d21fbeec9252e8b9357047dd7f3b1dc8 observed_remote_host=192.168.65.254 observed_remote_port=19002 bound_transport=tcp bound_host=150.162.149.177 bound_port=19002 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:30:05.139896+00:00 | DEBUG | node-007 | physical_session | received keepalive ack | session_id=b9ea788a-34dd-4539-bb3c-1e54a755b889
