2026-05-07T14:49:36.877722+00:00 | INFO | node-002 | engine | engine started
2026-05-07T14:49:36.881809+00:00 | INFO | node-002 | bootstrap | bootstrap targets loaded | endpoint_count=2 endpoints=["tcp://node-001:19001","tcp://node-002:19001"]
2026-05-07T14:49:38.913611+00:00 | INFO | node-002 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-001 target_port=19001 requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829
2026-05-07T14:49:38.917491+00:00 | INFO | node-002 | bootstrap | bootstrap request sent target=node-001:19001 attempt=1
2026-05-07T14:49:38.959865+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:38.962433+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c remote_host=172.18.0.2 remote_port=50978
2026-05-07T14:49:38.996735+00:00 | INFO | node-002 | physical_node_info | persisted remote physical node info | remote_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:39.020363+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:39.022609+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=55816
2026-05-07T14:49:40.942990+00:00 | INFO | node-002 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-001 target_port=19001 requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829
2026-05-07T14:49:40.944926+00:00 | INFO | node-002 | bootstrap | bootstrap request sent target=node-001:19001 attempt=2
2026-05-07T14:49:41.006553+00:00 | INFO | node-002 | physical_node_info | persisted remote physical node info | remote_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:41.028532+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:41.030951+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=55828
2026-05-07T14:49:41.070504+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:41.072452+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c remote_host=172.18.0.2 remote_port=50988
2026-05-07T14:49:45.710965+00:00 | INFO | node-002 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-001 target_port=19001 requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829
2026-05-07T14:49:45.713147+00:00 | INFO | node-002 | bootstrap | bootstrap request sent target=node-001:19001 attempt=3
2026-05-07T14:49:45.724711+00:00 | INFO | node-002 | node_runtime | core started | listen_port=19001 physical_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829
2026-05-07T14:49:45.794524+00:00 | INFO | node-002 | physical_node_info | persisted remote physical node info | remote_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:45.841987+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:45.845763+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=55842
2026-05-07T14:49:45.916423+00:00 | INFO | node-002 | physical_node_info | persisted requester physical node from request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c endpoint_count=1
2026-05-07T14:49:45.918417+00:00 | INFO | node-002 | physical_node_info | received physical node info request | requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c remote_host=172.18.0.2 remote_port=51004
2026-05-07T14:49:47.382262+00:00 | INFO | node-002 | physical_session | accepted inbound physical session init | session_id=143fed92-ddf0-49cc-905e-182f36907f5a initiator_physical_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=55388
2026-05-07T14:49:47.433653+00:00 | INFO | node-002 | physical_session | processed key confirm and activated inbound session | session_id=143fed92-ddf0-49cc-905e-182f36907f5a
